;Varianza_aX;Varianza_aY;Varianza_aZ;Kurtosis_aX;Kurtosis_aY;Kurtosis_aZ;Clase
92;262629,2111;25014,17778;9422,444444;-0,07074772;-0,090652206;-0,707035448;2
93;205014,4556;19736,45556;12987,34444;-1,043110528;-0,736551553;0,139180361;2
94;152196,7222;16062,5;10880,9;-0,194391068;-0,009738346;0,489242312;2
95;370809,0667;32768,22222;10034,26667;3,767822349;2,406225921;2,27846368;2
96;244318,0556;9320,766667;17856,26667;1,962595392;-1,427318938;-0,503230464;2
97;404703,5667;9432,322222;21781,21111;2,411042881;-0,296278219;0,307581304;2
98;217368,6778;15790,98889;22843,56667;-0,97581337;0,136575085;-0,634281319;2
99;248517,2889;41678,17778;12372,72222;2,867648081;0,328407781;-0,561203891;2
100;469147,1667;42163,51111;19201,21111;-0,289118918;-1,149685693;0,283304612;2
101;222287,5111;41427,06667;6162,711111;-0,390899281;3,975380133;-1,679582325;2
102;181812,7111;17042,72222;28299,28889;-0,993326534;1,571323876;0,145874543;2
103;314061,3778;10357,12222;45597,73333;3,034281953;-0,415993771;-0,888097242;2
104;368209,4333;14924,1;48126,45556;5,334641584;0,286464423;-0,071081109;2
105;153609,7333;12328,76667;7773,6;2,524097675;-1,151769093;-0,741097828;2
106;387990,9889;69989,37778;16656,1;2,984438516;4,055528177;2,78412287;2
107;10807,55556;985,6555556;1261,211111;0,668899241;-1,228821375;1,759455204;2
108;290,5444444;64,26666667;71,56666667;-0,778501059;-0,201562719;0,441290295;2
109;746,1;77491,61111;4104,4;-1,745618546;4,571091173;5,170398614;3
110;15500,4;336091,3444;13350,22222;0,717903909;-1,712869273;-1,67688522;3
111;54803,61111;319044,4;68753,87778;4,766664081;-1,795447484;0,845594182;3
112;19090,66667;194725,3444;20170,4;4,601459608;-2,091280389;-0,716835419;3
113;12452,62222;271824,3222;10439,15556;1,569294324;-1,71198504;-0,344813862;3
114;2484,266667;141542,0556;10451,38889;-0,669069209;-0,025709893;2,134790404;3
115;14353,28889;222686,7111;7397,655556;-0,456274257;-1,627013331;-0,672138347;3
116;6085,6;301549,7333;1150,766667;-1,829345657;-1,597895943;-0,495546303;3
117;20044,01111;288122,4889;11054,62222;-1,3962434;-1,847093694;0,707318011;3
118;9509,377778;302120,0444;10184,76667;0,048597905;-1,969188302;0,09719293;3
119;6891,566667;244864,4;7094,011111;-1,591720446;-1,718942125;0,415270461;3
120;12472,9;337941,3778;13694,17778;0,27730127;-1,817961587;4,155924761;3
121;11058,17778;320312,5444;16666,32222;-0,548512633;0,390624513;3,103213051;3
122;8755,211111;164119,7889;10137,56667;-0,620026159;-0,041549271;-0,855533262;3
123;3679,733333;200526,8444;2990,011111;-1,485487819;-1,061111782;-0,747776981;3
124;12318,9;350960,2333;12297,21111;-1,283279498;1,26948216;4,845172548;3
125;11320,48889;342444,9889;13446,44444;-1,48840727;-1,155786041;1,045076813;3
126;11603,37778;296194,6222;9911,655556;-1,334728983;-0,808338315;-1,223223932;3
127;14887,15556;415229,8778;14238,71111;-1,110167878;0,203036451;1,136387889;3
128;9290;302363,3444;14487,83333;-0,113789498;-0,828485192;2,752664232;3
129;13315,78889;216128,9;15472,4;0,530561327;-0,754838627;0,02719856;3
130;17343,82222;304416,4444;16073,78889;0,220019673;-0,995303896;0,452183115;3
131;14789,65556;212234,4;28069,28889;-0,498019315;-0,845673177;0,423108976;3
132;13472,54444;346225,6;9144,711111;-1,54726075;-1,133499185;0,32399605;3
133;15273,56667;335219,4333;10466,67778;-1,69675338;-1,529784097;0,772385885;3
134;10212;292817,1111;17572,84444;-1,563470789;-2,015391969;-0,488410253;3
135;18882,71111;347678,2222;12718,62222;-1,88725741;0,305533628;-0,603394874;3
136;15903,06667;251377,2889;15181,06667;-1,74660845;-1,325327877;0,837697182;3
137;13520,27778;276831,3333;27552,01111;-1,643228721;-1,832102761;-1,45299522;3
138;9765,211111;279246,7111;26109,55556;-0,305375974;-1,056052789;-1,164549059;3
139;10624,76667;213375,6;11847,87778;0,70866438;0,520890548;-0,431848996;3
140;12447,21111;263905,3333;13441,11111;-0,826176419;-2,009074517;-1,164592541;3
141;7910,177778;261459,5667;18580,17778;3,498382275;-0,747445341;0,171481061;3
142;19560;315087,1222;34142,48889;-1,151681059;-1,712524808;-0,928091153;3
143;12350,62222;56763,06667;23490,62222;0,958834103;8,217739893;8,059622215;3
144;6109,788889;1095,555556;1269,511111;3,506532118;-1,670190131;1,744931795;3
145;290,5444444;64,26666667;71,56666667;-0,778501059;-0,201562719;0,441290295;3
146;4920,1;1970,4;4145,155556;3,986079323;5,301406466;1,771161469;4
147;17369,06667;246779,7333;245547,2111;0,574877926;-1,567303134;-1,442421446;4
148;7744,933333;194173,3444;183549,4333;-0,738204977;-0,443199552;1,127922872;4
149;6716,455556;365636,3222;310505,7333;3,098726411;-0,901655346;-1,349716469;4
150;18454,88889;280925,1111;254371,8222;-1,395900329;-1,927098396;-1,499433299;4
151;5275,066667;264964,6222;160118,9;1,624736996;-0,698766204;-0,349471432;4
152;11185,28889;233914,0444;282270,7222;-0,774195366;-1,27071803;-1,145034518;4
153;8784,4;44384,54444;33643,6;-1,015555559;1,935351067;0,766417746;4
154;10428,48889;207025,6111;167214,4556;-1,240166325;0,689462543;1,048699823;4
155;16090,48889;153855,0667;105447,1111;-1,2048491;-0,487850829;-0,343027253;4
156;11601,51111;360770,2667;235469,3333;-0,95945573;-0,076991738;0,861838137;4
157;5889,877778;168991,6;91685,15556;-1,306748991;-0,489841898;0,203778787;4
158;5143,288889;187284,0556;170468,7111;-1,364205794;0,285236297;-0,232254743;4
159;3677,344444;56448,66667;22605,82222;-0,435235568;2,776228746;1,222114151;4
160;9615,6;61442,72222;64516,54444;0,793294898;1,622718566;-0,853376336;4
161;13066,98889;76389,83333;29254,54444;1,616336154;2,248762307;2,147933231;4
162;7965,511111;151547,6;85518,04444;0,577847486;0,956864325;0,399087922;4
163;14682,05556;182726,1778;122658,4556;-1,015076082;-0,569970191;-0,464830362;4
164;4365,822222;535438,9889;172047,8222;1,776575883;-0,75094291;-1,809174825;4
165;3227,333333;259131,5111;157728,0444;-0,355005556;-2,074691629;-1,808308088;4
166;2284,266667;260611,1667;140215,4333;-0,721134511;-1,751347174;-1,712969186;4
167;2478,988889;244443,5111;167198,7667;-0,654225369;-2,056382785;-1,605619903;4
168;12584,72222;375285,6;159951,7333;3,295671505;-1,642212406;-1,582555965;4
169;5147,433333;264910,0111;116363,8222;0,241970359;-1,080778576;-1,328633134;4
170;2183,511111;194479,8778;89776,48889;3,549207711;-0,431404291;1,943141033;4
171;2666,455556;130926,3222;74284,54444;2,743382548;-0,151901938;-0,819545834;4
172;14063,12222;112836,3222;48874,76667;-1,378980405;0,185218356;1,68316011;4
173;16968,23333;67203,73333;72228,84444;-0,63952339;-0,595894009;-0,342976954;4
174;5248,722222;93438,48889;22231,73333;0,651390473;0,88242575;1,475735298;4
175;2543,777778;104674,4444;101251,7778;0,728910372;0,587526453;-0,797327196;4
176;12118,1;156596,0111;64377,43333;-1,938438527;-0,49629832;-0,087459003;4
177;3476,233333;273411,7889;164618,4444;-1,809154765;-0,271022107;-0,336056419;4
178;9991,155556;291305,7889;190126,9889;-1,514646468;-1,823148539;-1,408382189;4
179;8468,622222;358839,1111;210035,8778;-1,56653835;-1,895419303;-1,142599818;4
180;12350,62222;56763,06667;23490,62222;0,958834103;8,217739893;8,059622215;4
181;6109,788889;1095,555556;1269,511111;3,506532118;-1,670190131;1,744931795;4
182;290,5444444;64,26666667;71,56666667;-0,778501059;-0,201562719;0,441290295;4
